Soil Characteristics,Average value
pH,6.01
Conductivity (mmhos/cm),0.68
Nitrate (ppm N),62.4
Ammonium (ppm),0.09
Phosphorus (ppm),0.41
Potassium (ppm),29.3
Calcium (ppm),64.4
Magnesium (ppm),13.8
Chloride (ppm),28.5
Sulfate (ppm),19.3
Sodium (ppm),17.8
Zinc (ppm),0.12
Manganese (ppm),0.06
Cooper (ppm),0.81
Iron (ppm),0.9
Aluminium (ppm),1.66
